[Name],[Layer],[Head],[Timestamp],Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10,Top 11,Top 12,Top 13,Top 14,Top 15,Top 16,Top 17,Top 18,Top 19,Top 20,Top 21,Top 22,Top 23,Top 24,Top 25,Top 26,Top 27,Top 28,Top 29,Top 30,Top 31,Top 32,Top 33,Top 34
down_cross,0,0,0,Color,Facial Features,Food and Beverages,Fruits and Vegetables,Brand Logos,Facial Expressions,Toys,Plants,Lighting Conditions,Animals,Nature Scenes,Sports Equipment,Buildings,Texture,People,Image Style,Books and Documents,Weather Conditions,Accessories,Poses and Gestures,Geometric Patterns,Time of Day,Geo-locations,Clothing,Vehicles,Material,Counting,Size,Shape,Written Characters,Musical Instruments,Furniture,Electronics,Tools
down_cross,0,0,1,Color,Facial Features,Fruits and Vegetables,Food and Beverages,Brand Logos,Facial Expressions,Toys,Plants,Nature Scenes,Animals,Lighting Conditions,Sports Equipment,Buildings,Texture,Poses and Gestures,People,Books and Documents,Geo-locations,Weather Conditions,Clothing,Vehicles,Counting,Geometric Patterns,Time of Day,Material,Image Style,Size,Shape,Written Characters,Musical Instruments,Furniture,Electronics,Tools,Accessories
down_cross,0,0,2,Color,Facial Features,Food and Beverages,Fruits and Vegetables,Brand Logos,Facial Expressions,Toys,Plants,Animals,Lighting Conditions,Nature Scenes,Sports Equipment,Buildings,People,Texture,Accessories,Geo-locations,Poses and Gestures,Weather Conditions,Books and Documents,Electronics,Clothing,Time of Day,Vehicles,Geometric Patterns,Material,Image Style,Counting,Size,Shape,Written Characters,Musical Instruments,Furniture,Tools
down_cross,0,0,3,Color,Facial Features,Fruits and Vegetables,Food and Beverages,Brand Logos,Facial Expressions,Toys,Plants,Animals,Lighting Conditions,Nature Scenes,Sports Equipment,Poses and Gestures,Buildings,Texture,People,Accessories,Geo-locations,Vehicles,Image Style,Geometric Patterns,Clothing,Time of Day,Weather Conditions,Material,Counting,Size,Shape,Written Characters,Musical Instruments,Books and Documents,Furniture,Electronics,Tools
down_cross,0,0,4,Color,Facial Features,Food and Beverages,Fruits and Vegetables,Brand Logos,Facial Expressions,Toys,Plants,Animals,Lighting Conditions,Nature Scenes,Sports Equipment,Buildings,Texture,Poses and Gestures,People,Accessories,Time of Day,Weather Conditions,Books and Documents,Electronics,Image Style,Clothing,Vehicles,Geo-locations,Geometric Patterns,Material,Counting,Size,Shape,Written Characters,Musical Instruments,Furniture,Tools
down_cross,0,0,5,Color,Facial Features,Food and Beverages,Fruits and Vegetables,Brand Logos,Facial Expressions,Toys,Plants,Animals,Sports Equipment,Lighting Conditions,Nature Scenes,Buildings,People,Texture,Accessories,Poses and Gestures,Vehicles,Geometric Patterns,Time of Day,Electronics,Size,Counting,Image Style,Material,Shape,Written Characters,Musical Instruments,Books and Documents,Furniture,Weather Conditions,Geo-locations,Tools,Clothing
down_cross,0,0,6,Color,Food and Beverages,Fruits and Vegetables,Facial Features,Brand Logos,Facial Expressions,Plants,Toys,Animals,Lighting Conditions,Sports Equipment,Nature Scenes,Buildings,Vehicles,Texture,Poses and Gestures,Accessories,People,Size,Geometric Patterns,Geo-locations,Time of Day,Weather Conditions,Material,Image Style,Counting,Electronics,Shape,Written Characters,Musical Instruments,Books and Documents,Furniture,Tools,Clothing
down_cross,0,0,7,Color,Food and Beverages,Facial Features,Brand Logos,Fruits and Vegetables,Facial Expressions,Plants,Toys,Sports Equipment,Nature Scenes,Animals,Lighting Conditions,Vehicles,Buildings,People,Accessories,Texture,Poses and Gestures,Weather Conditions,Electronics,Time of Day,Books and Documents,Size,Geo-locations,Geometric Patterns,Material,Image Style,Counting,Shape,Written Characters,Musical Instruments,Furniture,Tools,Clothing
down_cross,0,0,8,Color,Food and Beverages,Brand Logos,Fruits and Vegetables,Facial Features,Plants,Facial Expressions,Toys,Animals,Nature Scenes,Sports Equipment,Lighting Conditions,Buildings,Vehicles,People,Accessories,Poses and Gestures,Texture,Time of Day,Books and Documents,Electronics,Weather Conditions,Image Style,Geometric Patterns,Geo-locations,Furniture,Material,Counting,Size,Shape,Written Characters,Musical Instruments,Tools,Clothing
down_cross,0,0,9,Color,Food and Beverages,Brand Logos,Facial Features,Fruits and Vegetables,Plants,Toys,Facial Expressions,Animals,Sports Equipment,Nature Scenes,Vehicles,Lighting Conditions,Buildings,Texture,Accessories,People,Poses and Gestures,Books and Documents,Geo-locations,Weather Conditions,Time of Day,Electronics,Geometric Patterns,Furniture,Material,Image Style,Counting,Size,Shape,Written Characters,Musical Instruments,Tools,Clothing
